,artist,title,words,format
10,Cinderella,Fire and Ice,"And do ya feel like I feel When I want you baby Inside can't ya hide Cause it's scratchin' right through Come on And take it easy, nowhere to go She'll take ya fast and she'll take ya slow  Like fire and ice She'll take your heart away Fire and ice She'll take your breath away  And when ya shake for me, shake for me Shake for me ooo yea Ya take me down and around When ya do what ya do Come on And take it easy, nowhere to go She'll take ya fast and she'll take ya slow  Like fire and ice She'll take your heart away Fire and ice She'll take your breath away  Don't let me down I couldn't take it this time Don't kick me round I'll kick you out of my mind Take it  Fire and ice Fire and ice  Fire and ice She'll take your heart away Fire and ice She'll take your breath away  Fire and ice She'll take your heart away Fire and ice She'll take your breath away fire and ice She'll leave ya breathless Fire and ice",1
11,Cinderella,Freewheelin',"You say I get around but I'm gonna hit the ground I don't hear a word you're sayin' Going out of my head and The world's turnin' red Don't think I'll be stayin' You got your fancy pants now Wear 'em to the dance All I got is what I'm playin' But the trouble with you is there ain't just a few Don't take the ride unless you're payin'  Like a hot burnin' fire Blazin' out of control I couldn't get much higher, I'm  Freewheelin Nothin' gets in my way When I'm freewheelin I'm free yea  Take a look around cause it's all fallin' down Fallin' from the dream that we created I'm lookin' up at the sky and I'm wondering why Why it's all deflated You got a million and one ways to have fun Everything I've done is over-rated So take a step back cause I don't need the flack I can see your promises a fadin'  Like a hot burnin' fire Blazin' out of control I couldn't get much higher, I'm  Freewheelin Nothin' gets in my way When I'm freewheelin I'm free yea  Like a hot burnin' fire Blazin' out of control I couldn't get much higher, I'm  Freewheelin Nothin' gets in my way When I'm freewheelin I'm free yea  Freewheelin Nothing get in my way When I'm freewheelin I'm free yea  Freewheelin When I'm freewheelin I'm free yea",1
12,Cinderella,Gypsy Road ,"I used to be now I'm not what you see, lord I try And now it seems all those dreams have come true, but they're passing me by Some fast talkin' mama for a dollar put a smile on my face I'm drivin' all night I end up in the same old place  My gypsy road can't take me home I drive all night just to see the light My gypsy road can't take me home I keep on pushing 'cause it feels alright  And who's to care if I grow my hair to the sky I'll take a wish and a prayer, cross my fingers 'cause I always get by Fast talkin' jerk for a dollar wiped the smile off my face I'm drivin all night Just to keep the rat in the race  My gypsy road can't take me home I drive all night just to see the light My gypsy road can't take me home I keep on pushing 'cause it feels alright  Sometimes I feel so old Got my lights burnin' bright But I'm lookin' pretty sold Sometimes I feel so cold (so cold) So cold Let's go  Gotta get on home My gypsy road can't take me home My gypsy road can't take me home, take me  My gypsy road can't take me home I drive all night just to see the light My gypsy road can't take me home I keep on pushing 'cause it feels alright  My gypsy road can't take me home I drive all night just to see the light My gypsy road can't take me home I keep on pushing My gypsy road My gypsy road My gypsy road My gypsy road My gypsy road can't take me home",1
13,Cinderella,Hard to Find the Words,"Mama sometimes I feel inside There's nothing I can say Nothing I can do Could ever match the love you gave You taught me how to live Told me walk before you run And you were always there to pick me up Everytime I'd have a fall  And mama I know there's been times When I didn't always understrand By and by we do some growing up And it makes just a little more sense But sometimes it's hard to find the words But I'll do the best that I can Thank you for the love mama It's what made this boy a man  I know the road's been long And I know you've seen some rain Making the best of what we had I never heard you complain When I look in the mirror today Wondering could I be as strong Could I give as much to someone else As you gave to your son  And mama I know there's been times When we didn't see eye to eye By and by we do some growing up And we understand the reasons why But sometimes it's hard to find the words But I'll do the best I can Thank you for the love mama It's what made this boy a man, yea  Many years have gone by And I've been living them the best I can  And mama I know there's been times When I didn't always understand By and by we do some growing up And it makes just a little more sense But sometimes it's hard to find the words But I'll do the best I can Thank you for the love mama It's what made this boy a man, yea",1
14,Cinderella,Heartbreak Station,"Waiting at the station Tears filling up my eyes Sometimes the pain you hide Burns like a fire inside Look out my window Sometimes it's hard to see The things you want in life Come and go so easily  She took the last train out of my heart oh, oh She took the last train And now I think I'll make a brand new start She took the last train out of my heart  Watching the days go by Thinking 'bout the plans we made The days turn into years Funny how they fade away Sometimes I think of those days Sometimes I just hide away Waiting on that 9:20 train Waiting on a memory  She took the last train out of my heart oh, oh She took the last train And now I think I'll make a brand new start She took the last train out of my heart  My lady's on the fly and she's never coming back My love is like a steam train rolling down the tracks yea, yea  She took the last train out of my heart oh oh She took the last train And now I think I'll make a brand new start She took the last train out of my heart  She took the last train oh, out of my heart She took the last train And now I think I'll make a new start Last train out of my heart",1
15,Cinderella,Hell on Wheels,We hang tough When the chips are low Can't buy enough So we steal the show We get so hot We can't cool down So the hell with that We're rippin' through your town  We've had enough of the raw deals Hit the road and tell ya how it feels  Like hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels  We live fast But we love it so Can't see the past But it's gone we know We get so hot We can't cool down So the hell with that We're burnin' through your town  We've had enough of the raw deals Hit the road and tell ya how it feels  Like hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels Run like hell  Hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels Like hell on wheels,1
16,Cinderella,Hot and Bothered,You got me jumpin' right out of my skin You keep it up and I'll be comin' on in You start a feelin' you're the cream of the crop You gonna break my heart or just make it stop You told me that you'd always love me true But then I heard you told another guy too Take a cold shower but the water boils hot The way you twist and shake it girl You tie me in a knot And get me hot  Ooo hot and bothered So hot and bothered You get me Hot and bothered Come on now  Now listen I pick you up at eight by ten we do the town Empty my pockets just a tryin' to get you down Throw in the towel I think your games are such a bore Just when I think I've lost you pull me to the floor And get me hot  Ooo hot and bothered So hot and bothered You get me Hot and bothered So hot and bothered  Ooo you get me hot Hot and bothered So hot and bothered Baby baby baby get me hot  Ooo hot and bothered So hot and bothered You get me Hot and bothered Hot and bothered So hot and bothered You get me Hot and bothered Hot and bothered So hot and bothered Hot and bothered You get me Hot and bothered So hot and bothered Ooo hot and bothered Hot and bothered,1
17,Cinderella,If You Don't Like It,I don't need anyone To tell me how to run my life Got along alright so far I don't really think I need to hear your advice I've got my mind made up know what I want to do I'll do it anyway I choose So just sit back shut up for a minute let me show you what I'm gonna do  I ain't got no time to waste on you You ain't got no time to give Too hung up on all you did  If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just don't care If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just-just-just don't care  I've seen em come and go The kind that do it all for the show They got their walkin' talkin' built in jive I don't really think they're workin' nine to five Take it to your heart gonna tell ya from the start Gonna send a word or two your way So just sit back take a ride on your pony It'll all come back to you one day  I ain't got no time to waste on you You ain't got no time to give Too hung up on all you did  If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just don't care If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just-just-just don't care  If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just don't care If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just don't care  If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just-just-just don't care If you don't like it If you don't like it I don't care If you don't like it Hit the road cause I just don't care,1
18,Cinderella,In from the Outside,"I've been loved and I've been shoved beaten every step of the way lived by the glass and got a little ass three or four times a day  Well, I've seen blood like Noah's flood I think its gonna take us away Tellin' you should listen real good Hells come back to stay  Well you can't take it with you Its a one way ride Baby's had enough of lookin'  In from the outside In from the outside  Feelin' down low, time to let go you're only as good as you please Walk before you crawl, make the last call You need it like a social disease  Well you can't take it with you Its a one way ride Baby's had enough of lookin'  In from the outside In from the outside In from the outside  I've been loved and I've been shoved Beaten every step of the way Lived by the glass And got a little ass Three or four times a day  Well you can't take it with you Its a one way ride Baby's had enough of lookin'  In from the outside In from the outside In from the outside",1
19,Cinderella,Long Cold Winter,"I've been down I've been cryin' in the dead of night I've been tryin', i've been tryin' To find the time to make it right It's gonna be a long cold winter Long cold winter without your love  I've been walkin' I've been freezin' Freezin' from a love i left behind I've been searchin', i've been searchin' Can't find my peace of mind It's gonna be a long cold winter Long cold winter without your love  I've been down ooo, i've been down yea Baby baby baby ooo i'm freezin' I'm freezin', i'm freezin', i'm cold So so so cold It's gonna be a long cold winter Long cold winter without your love yea",1
